Unnamed: 0,OBJECTID,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,STRZUSTAND,IstPKW,IstKrad,IstGkfz,IstFuss,IstSonstige,lat,lon,alone,not_alone,UTYP2,weekend
936,198088,2,2,1,3,0,1,2,0,0,0,0,0,0,52.60732646496653,13.42503640673584,1,0,1,1
937,198095,2,5,5,3,5,3,2,0,1,0,0,0,0,52.560555764294996,13.477632768033025,0,1,2,0
938,198098,2,18,4,2,0,5,2,0,1,0,0,0,0,52.50595452840825,13.321169189466882,0,1,5,0
939,198101,2,12,7,3,6,6,0,0,0,0,0,1,0,52.505347624359246,13.340483853594634,0,1,6,1
940,198104,2,16,2,2,5,3,0,0,1,0,0,0,0,52.469564842994565,13.331162506881595,0,1,2,0
941,198107,2,7,5,3,1,5,0,0,1,0,0,0,1,52.51366744791246,13.590305125314984,0,1,5,0
942,198109,2,15,7,3,5,3,0,0,1,0,0,0,0,52.49031619237206,13.452029924203956,0,1,2,1
943,198111,2,18,6,3,1,5,2,0,1,0,0,0,0,52.50846868069664,13.425579694623751,0,1,5,0
944,198118,2,9,5,2,5,3,0,0,1,0,0,0,0,52.44304025899489,13.580528633998805,0,1,2,0
945,198120,2,9,2,3,5,2,0,1,0,0,1,0,0,52.459742840229644,13.403892645415164,0,1,2,0
946,198124,2,18,7,3,5,2,2,0,1,0,0,0,0,52.519781838550976,13.462459883783438,0,1,2,1
947,198126,2,15,7,3,5,7,0,0,1,0,0,0,0,52.44669494945591,13.623608157101133,0,1,7,1
948,198128,2,19,3,3,1,5,2,0,1,0,0,0,1,52.50440336269053,13.441893655954175,0,1,5,0
949,198131,2,14,7,3,5,3,0,0,1,0,0,0,0,52.46245125231915,13.444873150099411,0,1,2,1
950,198135,2,7,6,3,5,2,0,0,1,0,0,0,0,52.52323356611301,13.456374633209526,0,1,2,0
951,198137,2,13,5,3,2,2,0,0,1,0,0,0,0,52.49838048223751,13.334585502833438,0,1,2,0
